blank,ActiveFlag,Attack_Speed,Basic_Attack_Damage,ChildItemId,Cooldown_Reduction,Critical_Strike_Chance,Crowd_Control_Reduction,Damage_Reduction,Description,DeviceName,Glyph,HP5,HP5_and_MP5,Health,IconId,ItemId,ItemTier,MP5,Magical_Lifesteal,Magical_Penetration,Magical_Power,Magical_Protections,Mana,Maximum_Health,Movement_Speed,Penetration,Physical_Critical,Physical_Lifesteal,Physical_Penetration,Physical_Power,Physical_Protection,Price,Protections,RestrictedRoles,RootItemId,SecondaryDescription,ShortDesc,StartingItem,Type,Unlocks_at_level_10,itemIcon_URL,ret_msg
0,y,0,0,0,0,0,0,0,Physical Protection and Health.,Iron Mail,n,0,0,75,2866,7526,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,650,0,no restrictions,7526,,Physical Protection and Health.,0,Item,0,https://webcdn.hirezstudios.com/smite/item-icons/iron-mail.jpg,
0,y,0,0,7526,0,0,0,0,,Steel Mail,n,0,0,200,2865,7527,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20,750,0,no restrictions,7526,,Physical Protection and Health.,0,Item,0,https://webcdn.hirezstudios.com/smite/item-icons/steel-mail.jpg,
0,y,0,0,7527,0,0,0,0,This item gives the owner an aura of physical protections.,Sovereignty,n,0,0,250,2864,7528,3,0,0,0,0,0,0,0,0,0,0,0,0,0,40,700,0,no restrictions,7526,AURA - Allied gods within 70 units have their Physical Protections increased by 15 and their HP5 increased by 35.,Physical Protection Aura,0,Item,0,https://webcdn.hirezstudios.com/smite/item-icons/sovereignty.jpg,
0,y,0,0,7527,0,0,+20%,0,This item deals damage to nearby enemies.,Mystical Mail,n,0,0,200,2917,7537,3,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1050,0,no restrictions,7526,AURA - ALL enemies within 25 units are dealt 20 (+1 Per Level) Magical Damage per second.,Nearby enemies take damage over time,0,Item,0,https://webcdn.hirezstudios.com/smite/item-icons/mystical-mail.jpg,
0,y,0,0,7527,0,0,0,0,This item causes attackers to have a chance to be slowed.,Midgardian Mail,n,0,0,300,2863,7907,3,0,0,0,0,0,0,0,0,0,0,0,0,0,40,900,0,no restrictions,7526,PASSIVE - Enemies that successfully land a basic attack  on you have their Movement Speed and Attack Speed reduced by 8% for 2 seconds. This effect can stack up to 3 times and can stack with other item slow effects.,Slow enemies when hit by their Basic Attacks,0,Item,0,https://webcdn.hirezstudios.com/smite/item-icons/midgardian-mail.jpg,
0,y,0,0,7527,0,0,0,0,"When in range of an enemy structure, that structure's Attack Speed is reduced by 30%. When in range of an ally structure, that structures has its Attack Speed increased by 50%.",Emperor's Armor,n,0,0,300,4670,13189,3,0,0,0,0,0,0,0,0,0,0,0,0,0,60,600,0,no restrictions,7526,"AURA - Damageable enemy structures within 55 units have their Attack Speed reduced by 30%.
Damageable allied structures within 55 units have their Attack Speed increased by 50%.",Tower buff and debuff aura,0,Item,0,https://webcdn.hirezstudios.com/smite/item-icons/emperors-armor.jpg,
0,y,+10%,0,0,0,0,0,0,Increased Attack Speed and Power.,Light Blade,n,0,0,0,2738,7573,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,600,0,no restrictions,7573,,Physical Power and Attack Speed,0,Item,0,https://webcdn.hirezstudios.com/smite/item-icons/light-blade.jpg,
0,y,+15%,0,7573,0,0,0,0,,Balanced Blade,n,0,0,0,2736,7574,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,650,0,no restrictions,7573,,Physical Power and Attack Speed.,0,Item,0,https://webcdn.hirezstudios.com/smite/item-icons/balanced-blade.jpg,
0,n,+25%,0,7573,0,0,0,0,This item gives increased Physical Lifesteal when at low Health.,*Asi,n,0,0,0,2526,9348,2,0,0,0,0,0,0,0,0,0,0,+15%,10,0,0,1100,0,no restrictions,7573,"PASSIVE - If you drop below 35% Health, you gain an additional 25% Physical Lifesteal for 5 seconds.  Can only occur once every 15 seconds.",Gain Physical Lifesteal when at low Health,0,Item,0,https://webcdn.hirezstudios.com/smite/item-icons/*asi.jpg,
0,y,+20%,0,7574,0,0,0,0,This item causes your Basic Attacks to reduce the target's Physical Protections.,The Executioner,n,0,0,0,2803,7575,3,0,0,0,0,0,0,0,0,0,0,0,0,40,0,950,0,no restrictions,7573,PASSIVE - Basic Attacks against an enemy reduce your target's Physical Protection by 7% for 3 seconds (max. 4 Stacks).,Basic Attacks reduce target's Physical Protection,0,Item,0,https://webcdn.hirezstudios.com/smite/item-icons/the-executioner.jpg,
